BUKRS,BELNR,GJAHR,MONAT,BUDAT,BLDAT,BLART,WAERS,VERSION,USNAM,STBLG,BUZEI,BSCHL,SHKZG,HKONT,KOSTL,PRCTR,DMBTR,WRBTR
1000,0000100001,2022,1,2022-01-26,2022-01-15,DR,EUR,0,USER025,,1,50,H,400000,10000001,P100001,1804899.87,1804899.87
1000,0000100001,2022,1,2022-01-26,2022-01-15,DR,EUR,0,USER025,,2,40,S,140000,,P100001,1804899.87,1804899.87
1000,0000100002,2022,1,2022-01-05,2021-12-25,DR,EUR,0,USER012,,1,50,H,400000,10000001,P100001,755188.0,755188.0
1000,0000100002,2022,1,2022-01-05,2021-12-25,DR,EUR,0,USER012,,2,40,S,140000,,P100001,755188.0,755188.0
1000,0000100003,2022,1,2022-01-12,2022-01-11,DR,EUR,0,USER015,,1,50,H,400000,10000001,P100001,1772710.39,1772710.39
1000,0000100003,2022,1,2022-01-12,2022-01-11,DR,EUR,0,USER015,,2,40,S,140000,,P100001,1772710.39,1772710.39
1000,0000100004,2022,1,2022-01-03,2021-12-31,DR,EUR,0,USER029,,1,50,H,400000,10000001,P100001,1155058.98,1155058.98
1000,0000100004,2022,1,2022-01-03,2021-12-31,DR,EUR,0,USER029,,2,40,S,140000,,P100001,1155058.98,1155058.98
1000,0000100005,2022,1,2022-01-18,2022-01-10,DR,EUR,0,USER003,,1,50,H,400000,10000001,P100001,7719954.87,7719954.87
1000,0000100005,2022,1,2022-01-18,2022-01-10,DR,EUR,0,USER003,,2,40,S,140000,,P100001,7719954.87,7719954.87
1000,0000100006,2022,1,2022-01-17,2022-01-10,DR,EUR,0,USER014,,1,50,H,400000,10000001,P100001,271724.79,271724.79
1000,0000100006,2022,1,2022-01-17,2022-01-10,DR,EUR,0,USER014,,2,40,S,140000,,P100001,271724.79,271724.79
1000,0000100007,2022,1,2022-01-27,2022-01-20,DR,EUR,0,USER016,,1,50,H,400000,10000001,P100001,1303384.5,1303384.5
1000,0000100007,2022,1,2022-01-27,2022-01-20,DR,EUR,0,USER016,,2,40,S,140000,,P100001,1303384.5,1303384.5
1000,0000100008,2022,1,2022-01-07,2022-01-01,DR,EUR,0,USER028,,1,50,H,400000,10000001,P100001,2698903.26,2698903.26
1000,0000100008,2022,1,2022-01-07,2022-01-01,DR,EUR,0,USER028,,2,40,S,140000,,P100001,2698903.26,2698903.26
1000,0000100009,2022,1,2022-01-31,2022-01-31,DR,EUR,0,USER025,,1,50,H,410000,10000001,P100001,267547.01,267547.01
1000,0000100009,2022,1,2022-01-31,2022-01-31,DR,EUR,0,USER025,,2,40,S,140000,,P100001,267547.01,267547.01
1000,0000100010,2022,1,2022-01-20,2022-01-09,DR,EUR,0,USER007,,1,50,H,410000,10000001,P100001,2377257.52,2377257.52
1000,0000100010,2022,1,2022-01-20,2022-01-09,DR,EUR,0,USER007,,2,40,S,140000,,P100001,2377257.52,2377257.52
1000,0000100011,2022,1,2022-01-27,2022-01-18,DR,EUR,0,USER029,,1,50,H,410000,10000001,P100001,502710.08,502710.08
1000,0000100011,2022,1,2022-01-27,2022-01-18,DR,EUR,0,USER029,,2,40,S,140000,,P100001,502710.08,502710.08
1000,0000100012,2022,1,2022-01-05,2022-01-03,DR,EUR,0,USER003,,1,50,H,410000,10000001,P100001,1912928.73,1912928.73
1000,0000100012,2022,1,2022-01-05,2022-01-03,DR,EUR,0,USER003,,2,40,S,140000,,P100001,1912928.73,1912928.73
1000,0000100013,2022,1,2022-01-31,2022-01-26,DR,EUR,0,USER004,,1,50,H,410000,10000001,P100001,342953.06,342953.06
1000,0000100013,2022,1,2022-01-31,2022-01-26,DR,EUR,0,USER004,,2,40,S,140000,,P100001,342953.06,342953.06
1000,0000100014,2022,1,2022-01-27,2022-01-26,DR,EUR,0,USER019,,1,50,H,410000,10000001,P100001,2223506.96,2223506.96
1000,0000100014,2022,1,2022-01-27,2022-01-26,DR,EUR,0,USER019,,2,40,S,140000,,P100001,2223506.96,2223506.96
1000,0000100015,2022,1,2022-01-06,2021-12-28,DR,EUR,0,USER039,,1,50,H,410000,10000001,P100001,379397.1,379397.1
1000,0000100015,2022,1,2022-01-06,2021-12-28,DR,EUR,0,USER039,,2,40,S,140000,,P100001,379397.1,379397.1
1000,0000100016,2022,1,2022-01-31,2022-01-24,DR,EUR,0,USER011,,1,50,H,410000,10000001,P100001,126750.73,126750.73
1000,0000100016,2022,1,2022-01-31,2022-01-24,DR,EUR,0,USER011,,2,40,S,140000,,P100001,126750.73,126750.73
1000,0000100017,2022,1,2022-01-03,2021-12-31,DR,EUR,0,USER024,,1,50,H,410000,10000001,P100001,10656.91,10656.91
1000,0000100017,2022,1,2022-01-03,2021-12-31,DR,EUR,0,USER024,,2,40,S,140000,,P100001,10656.91,10656.91
1000,0000100018,2022,1,2022-01-25,2022-01-24,KR,EUR,0,USER003,,1,40,S,700000,10000001,P100001,32875.53,32875.53
1000,0000100018,2022,1,2022-01-25,2022-01-24,KR,EUR,0,USER003,,2,50,H,160000,,P100001,32875.53,32875.53
1000,0000100019,2022,1,2022-01-17,2022-01-08,KR,EUR,0,USER017,,1,40,S,700000,10000001,P100001,16307.11,16307.11
1000,0000100019,2022,1,2022-01-17,2022-01-08,KR,EUR,0,USER017,,2,50,H,160000,,P100001,16307.11,16307.11
1000,0000100020,2022,1,2022-01-13,2022-01-08,KR,EUR,0,USER014,,1,40,S,700000,10000001,P100001,1955.22,1955.22
1000,0000100020,2022,1,2022-01-13,2022-01-08,KR,EUR,0,USER014,,2,50,H,160000,,P100001,1955.22,1955.22
1000,0000100021,2022,1,2022-01-13,2022-01-10,KR,EUR,0,USER039,,1,40,S,700000,10000001,P100001,1076.01,1076.01
1000,0000100021,2022,1,2022-01-13,2022-01-10,KR,EUR,0,USER039,,2,50,H,160000,,P100001,1076.01,1076.01
1000,0000100022,2022,1,2022-01-06,2021-12-28,KR,EUR,0,USER027,,1,40,S,700000,10000001,P100001,1366.76,1366.76
1000,0000100022,2022,1,2022-01-06,2021-12-28,KR,EUR,0,USER027,,2,50,H,160000,,P100001,1366.76,1366.76
1000,0000100023,2022,1,2022-01-30,2022-01-26,KR,EUR,0,USER021,,1,40,S,700000,10000001,P100001,6305.59,6305.59
1000,0000100023,2022,1,2022-01-30,2022-01-26,KR,EUR,0,USER021,,2,50,H,160000,,P100001,6305.59,6305.59
1000,0000100024,2022,1,2022-01-04,2022-01-03,KR,EUR,0,USER028,,1,40,S,700000,10000001,P100001,3455.74,3455.74
1000,0000100024,2022,1,2022-01-04,2022-01-03,KR,EUR,0,USER028,,2,50,H,160000,,P100001,3455.74,3455.74
1000,0000100025,2022,1,2022-01-26,2022-01-26,KR,EUR,0,USER029,,1,40,S,700000,10000001,P100001,26464.89,26464.89
1000,0000100025,2022,1,2022-01-26,2022-01-26,KR,EUR,0,USER029,,2,50,H,160000,,P100001,26464.89,26464.89
1000,0000100026,2022,1,2022-01-31,2022-01-25,KR,EUR,0,USER009,,1,40,S,700000,10000001,P100001,25763.32,25763.32
1000,0000100026,2022,1,2022-01-31,2022-01-25,KR,EUR,0,USER009,,2,50,H,160000,,P100001,25763.32,25763.32
1000,0000100027,2022,1,2022-01-19,2022-01-14,KR,EUR,0,USER001,,1,40,S,700000,10000001,P100001,54780.44,54780.44
1000,0000100027,2022,1,2022-01-19,2022-01-14,KR,EUR,0,USER001,,2,50,H,160000,,P100001,54780.44,54780.44
1000,0000100028,2022,1,2022-01-12,2022-01-09,KR,EUR,0,USER002,,1,40,S,710000,10000001,P100001,136849.17,136849.17
1000,0000100028,2022,1,2022-01-12,2022-01-09,KR,EUR,0,USER002,,2,50,H,160000,,P100001,136849.17,136849.17
1000,0000100029,2022,1,2022-01-28,2022-01-28,KR,EUR,0,USER006,,1,40,S,710000,10000001,P100001,27567.68,27567.68
1000,0000100029,2022,1,2022-01-28,2022-01-28,KR,EUR,0,USER006,,2,50,H,160000,,P100001,27567.68,27567.68
1000,0000100030,2022,1,2022-01-17,2022-01-09,KR,EUR,0,USER034,,1,40,S,710000,10000001,P100001,15212.65,15212.65
1000,0000100030,2022,1,2022-01-17,2022-01-09,KR,EUR,0,USER034,,2,50,H,160000,,P100001,15212.65,15212.65
1000,0000100031,2022,1,2022-01-18,2022-01-13,KR,EUR,0,USER007,,1,40,S,710000,10000001,P100001,60314.51,60314.51
1000,0000100031,2022,1,2022-01-18,2022-01-13,KR,EUR,0,USER007,,2,50,H,160000,,P100001,60314.51,60314.51
1000,0000100032,2022,1,2022-01-18,2022-01-07,KR,EUR,0,USER011,,1,40,S,710000,10000001,P100001,15775.7,15775.7
1000,0000100032,2022,1,2022-01-18,2022-01-07,KR,EUR,0,USER011,,2,50,H,160000,,P100001,15775.7,15775.7
1000,0000100033,2022,1,2022-01-10,2022-01-09,KR,EUR,0,USER006,,1,40,S,710000,10000001,P100001,16100.17,16100.17
1000,0000100033,2022,1,2022-01-10,2022-01-09,KR,EUR,0,USER006,,2,50,H,160000,,P100001,16100.17,16100.17
1000,0000100034,2022,1,2022-01-27,2022-01-23,KR,EUR,0,USER029,,1,40,S,710000,10000001,P100001,991.12,991.12
1000,0000100034,2022,1,2022-01-27,2022-01-23,KR,EUR,0,USER029,,2,50,H,160000,,P100001,991.12,991.12
1000,0000100035,2022,1,2022-01-05,2022-01-01,KR,EUR,0,USER018,,1,40,S,710000,10000001,P100001,38512.98,38512.98
1000,0000100035,2022,1,2022-01-05,2022-01-01,KR,EUR,0,USER018,,2,50,H,160000,,P100001,38512.98,38512.98
1000,0000100036,2022,1,2022-01-19,2022-01-15,KR,EUR,0,USER037,,1,40,S,710000,10000001,P100001,481.81,481.81
1000,0000100036,2022,1,2022-01-19,2022-01-15,KR,EUR,0,USER037,,2,50,H,160000,,P100001,481.81,481.81
1000,0000100037,2022,1,2022-01-07,2021-12-30,KR,EUR,0,USER026,,1,40,S,710000,10000001,P100001,30885.61,30885.61
1000,0000100037,2022,1,2022-01-07,2021-12-30,KR,EUR,0,USER026,,2,50,H,160000,,P100001,30885.61,30885.61
1000,0000100038,2022,1,2022-01-26,2022-01-16,SA,EUR,0,USER020,,1,40,S,600000,10000001,P100001,131039.11,131039.11
1000,0000100038,2022,1,2022-01-26,2022-01-16,SA,EUR,0,USER020,,2,50,H,170000,,P100001,131039.11,131039.11
1000,0000100039,2022,1,2022-01-14,2022-01-11,SA,EUR,0,USER008,,1,40,S,600000,10000001,P100001,757873.48,757873.48
1000,0000100039,2022,1,2022-01-14,2022-01-11,SA,EUR,0,USER008,,2,50,H,170000,,P100001,757873.48,757873.48
1000,0000100040,2022,1,2022-01-13,2022-01-13,SA,EUR,0,USER019,,1,40,S,600000,10000001,P100001,224907.76,224907.76
1000,0000100040,2022,1,2022-01-13,2022-01-13,SA,EUR,0,USER019,,2,50,H,170000,,P100001,224907.76,224907.76
1000,0000100041,2022,1,2022-01-31,2022-01-25,SA,EUR,0,USER027,,1,40,S,600000,10000001,P100001,195020.74,195020.74
1000,0000100041,2022,1,2022-01-31,2022-01-25,SA,EUR,0,USER027,,2,50,H,170000,,P100001,195020.74,195020.74
1000,0000100042,2022,1,2022-01-25,2022-01-16,SA,EUR,0,USER015,,1,40,S,600000,10000001,P100001,26690.23,26690.23
1000,0000100042,2022,1,2022-01-25,2022-01-16,SA,EUR,0,USER015,,2,50,H,170000,,P100001,26690.23,26690.23
1000,0000100043,2022,1,2022-01-13,2022-01-11,SA,EUR,0,USER033,,1,40,S,600000,10000001,P100001,17943.44,17943.44
1000,0000100043,2022,1,2022-01-13,2022-01-11,SA,EUR,0,USER033,,2,50,H,170000,,P100001,17943.44,17943.44
1000,0000100044,2022,1,2022-01-31,2022-01-22,SA,EUR,0,USER021,,1,40,S,600000,10000001,P100001,503694.64,503694.64
1000,0000100044,2022,1,2022-01-31,2022-01-22,SA,EUR,0,USER021,,2,50,H,170000,,P100001,503694.64,503694.64
1000,0000100045,2022,1,2022-01-18,2022-01-13,SA,EUR,0,USER007,,1,40,S,620000,10000001,P100001,26350.89,26350.89
1000,0000100045,2022,1,2022-01-18,2022-01-13,SA,EUR,0,USER007,,2,50,H,170000,,P100001,26350.89,26350.89
1000,0000100046,2022,1,2022-01-31,2022-01-24,SA,EUR,0,USER036,,1,40,S,620000,10000001,P100001,5362.26,5362.26
1000,0000100046,2022,1,2022-01-31,2022-01-24,SA,EUR,0,USER036,,2,50,H,170000,,P100001,5362.26,5362.26
1000,0000100047,2022,1,2022-01-05,2021-12-25,SA,EUR,0,USER010,,1,40,S,620000,10000001,P100001,7032.54,7032.54
1000,0000100047,2022,1,2022-01-05,2021-12-25,SA,EUR,0,USER010,,2,50,H,170000,,P100001,7032.54,7032.54
1000,0000100048,2022,1,2022-01-31,2022-01-23,SA,EUR,0,USER035,,1,40,S,620000,10000001,P100001,38539.86,38539.86
1000,0000100048,2022,1,2022-01-31,2022-01-23,SA,EUR,0,USER035,,2,50,H,170000,,P100001,38539.86,38539.86
1000,0000100049,2022,1,2022-01-30,2022-01-20,SA,EUR,0,USER020,,1,40,S,620000,10000001,P100001,1346.05,1346.05
1000,0000100049,2022,1,2022-01-30,2022-01-20,SA,EUR,0,USER020,,2,50,H,170000,,P100001,1346.05,1346.05
1000,0000100050,2022,1,2022-01-17,2022-01-15,SA,EUR,0,USER019,,1,40,S,620000,10000001,P100001,1472.7,1472.7
1000,0000100050,2022,1,2022-01-17,2022-01-15,SA,EUR,0,USER019,,2,50,H,170000,,P100001,1472.7,1472.7
1000,0000100051,2022,1,2022-01-06,2021-12-28,SA,EUR,0,USER025,,1,40,S,620000,10000001,P100001,44188.15,44188.15
1000,0000100051,2022,1,2022-01-06,2021-12-28,SA,EUR,0,USER025,,2,50,H,170000,,P100001,44188.15,44188.15
1000,0000100052,2022,1,2022-01-28,2022-01-22,KR,EUR,0,USER015,,1,40,S,740000,10000001,P100001,827.29,827.29
1000,0000100052,2022,1,2022-01-28,2022-01-22,KR,EUR,0,USER015,,2,50,H,160000,,P100001,827.29,827.29
1000,0000100053,2022,1,2022-01-11,2022-01-07,KR,EUR,0,USER008,,1,40,S,740000,10000001,P100001,59862.16,59862.16
1000,0000100053,2022,1,2022-01-11,2022-01-07,KR,EUR,0,USER008,,2,50,H,160000,,P100001,59862.16,59862.16
1000,0000100054,2022,1,2022-01-29,2022-01-21,KR,EUR,0,USER030,,1,40,S,740000,10000001,P100001,26559.55,26559.55
1000,0000100054,2022,1,2022-01-29,2022-01-21,KR,EUR,0,USER030,,2,50,H,160000,,P100001,26559.55,26559.55
1000,0000100055,2022,1,2022-01-17,2022-01-11,KR,EUR,0,USER030,,1,40,S,740000,10000001,P100001,5066.76,5066.76
1000,0000100055,2022,1,2022-01-17,2022-01-11,KR,EUR,0,USER030,,2,50,H,160000,,P100001,5066.76,5066.76
1000,0000100056,2022,1,2022-01-28,2022-01-21,KR,EUR,0,USER014,,1,40,S,740000,10000001,P100001,22413.26,22413.26
1000,0000100056,2022,1,2022-01-28,2022-01-21,KR,EUR,0,USER014,,2,50,H,160000,,P100001,22413.26,22413.26
1000,0000100057,2022,1,2022-01-13,2022-01-09,KR,EUR,0,USER021,,1,40,S,740000,10000001,P100001,899.99,899.99
1000,0000100057,2022,1,2022-01-13,2022-01-09,KR,EUR,0,USER021,,2,50,H,160000,,P100001,899.99,899.99
1000,0000100058,2022,1,2022-01-21,2022-01-18,KR,EUR,0,USER030,,1,40,S,740000,10000001,P100001,256.5,256.5
1000,0000100058,2022,1,2022-01-21,2022-01-18,KR,EUR,0,USER030,,2,50,H,160000,,P100001,256.5,256.5
1000,0000100059,2022,1,2022-01-20,2022-01-13,KR,EUR,0,USER024,,1,40,S,500000,10000002,P100002,1743120.84,1743120.84
