RLDNR,RBUKRS,GJAHR,BELNR,DOCLN,RYEAR,POPER,BUDAT,BLDAT,BLART,RACCT,RCNTR,PRCTR,DRCRK,RWCUR,HSL,WSL,USNAM,STBLG
0L,1000,2022,0000100001,000001,2022,001,2022-01-26,2022-01-15,DR,400000,10000001,P100001,H,EUR,-1804899.87,-1804899.87,USER025,
0L,1000,2022,0000100001,000002,2022,001,2022-01-26,2022-01-15,DR,140000,,P100001,S,EUR,1804899.87,1804899.87,USER025,
0L,1000,2022,0000100002,000001,2022,001,2022-01-05,2021-12-25,DR,400000,10000001,P100001,H,EUR,-755188.0,-755188.0,USER012,
0L,1000,2022,0000100002,000002,2022,001,2022-01-05,2021-12-25,DR,140000,,P100001,S,EUR,755188.0,755188.0,USER012,
0L,1000,2022,0000100003,000001,2022,001,2022-01-12,2022-01-11,DR,400000,10000001,P100001,H,EUR,-1772710.39,-1772710.39,USER015,
0L,1000,2022,0000100003,000002,2022,001,2022-01-12,2022-01-11,DR,140000,,P100001,S,EUR,1772710.39,1772710.39,USER015,
0L,1000,2022,0000100004,000001,2022,001,2022-01-03,2021-12-31,DR,400000,10000001,P100001,H,EUR,-1155058.98,-1155058.98,USER029,
0L,1000,2022,0000100004,000002,2022,001,2022-01-03,2021-12-31,DR,140000,,P100001,S,EUR,1155058.98,1155058.98,USER029,
0L,1000,2022,0000100005,000001,2022,001,2022-01-18,2022-01-10,DR,400000,10000001,P100001,H,EUR,-7719954.87,-7719954.87,USER003,
0L,1000,2022,0000100005,000002,2022,001,2022-01-18,2022-01-10,DR,140000,,P100001,S,EUR,7719954.87,7719954.87,USER003,
0L,1000,2022,0000100006,000001,2022,001,2022-01-17,2022-01-10,DR,400000,10000001,P100001,H,EUR,-271724.79,-271724.79,USER014,
0L,1000,2022,0000100006,000002,2022,001,2022-01-17,2022-01-10,DR,140000,,P100001,S,EUR,271724.79,271724.79,USER014,
