model,cell_MASE,agg_WAPE,cell_rank,agg_rank,delta
N-BEATS generic,0.9605309056784415,0.06507836247532497,1,9,8
Global MLP,0.9686722403834699,0.06009722742908436,2,5,3
LightGBM (global),1.0335615268572762,0.04659912073297741,3,3,0
N-BEATS interpretable,1.0534821118052582,0.06374685086079733,4,7,3
Theta,1.053722612430254,0.06839835750128508,5,10,5
Budget v1 (human),1.106736014115392,0.055391153204190656,6,4,-2
SARIMA,1.1253204294161965,0.06163733606640094,7,6,-1
ETS (Holt-Winters),1.1267696324454564,0.03816580730935504,8,1,-7
Seasonal naive,1.132917526093064,0.06412414727570293,9,8,-1
STL+ETS,1.2226760412036153,0.04244066867033307,10,2,-8
Naive,2.7197336065891475,0.27820700918940694,11,11,0
