BUKRS,KOSTL,KOSTL_GROUP,CC_TYPE,PRCTR,KTEXT
1000,10000001,1000-SALES,SALES,P100001,Sales CC 1 (DE)
1000,10000002,1000-PRODUCTION,PRODUCTION,P100002,Production CC 2 (DE)
1000,10000003,1000-ADMIN,ADMIN,P100003,Admin CC 3 (DE)
1000,10000004,1000-RND,RND,P100004,Rnd CC 4 (DE)
1000,10000005,1000-SALES,SALES,P100001,Sales CC 5 (DE)
1000,10000006,1000-PRODUCTION,PRODUCTION,P100002,Production CC 6 (DE)
1000,10000007,1000-ADMIN,ADMIN,P100003,Admin CC 7 (DE)
1000,10000008,1000-RND,RND,P100004,Rnd CC 8 (DE)
1000,10000009,1000-SALES,SALES,P100001,Sales CC 9 (DE)
1000,10000010,1000-PRODUCTION,PRODUCTION,P100002,Production CC 10 (DE)
1000,10000011,1000-ADMIN,ADMIN,P100003,Admin CC 11 (DE)
1000,10000012,1000-RND,RND,P100004,Rnd CC 12 (DE)
1000,10000013,1000-SALES,SALES,P100001,Sales CC 13 (DE)
1000,10000014,1000-PRODUCTION,PRODUCTION,P100002,Production CC 14 (DE)
2000,20000001,2000-SALES,SALES,P200001,Sales CC 1 (US)
2000,20000002,2000-PRODUCTION,PRODUCTION,P200002,Production CC 2 (US)
2000,20000003,2000-ADMIN,ADMIN,P200003,Admin CC 3 (US)
2000,20000004,2000-RND,RND,P200004,Rnd CC 4 (US)
2000,20000005,2000-SALES,SALES,P200001,Sales CC 5 (US)
2000,20000006,2000-PRODUCTION,PRODUCTION,P200002,Production CC 6 (US)
2000,20000007,2000-ADMIN,ADMIN,P200003,Admin CC 7 (US)
2000,20000008,2000-RND,RND,P200004,Rnd CC 8 (US)
2000,20000009,2000-SALES,SALES,P200001,Sales CC 9 (US)
2000,20000010,2000-PRODUCTION,PRODUCTION,P200002,Production CC 10 (US)
2000,20000011,2000-ADMIN,ADMIN,P200003,Admin CC 11 (US)
2000,20000012,2000-RND,RND,P200004,Rnd CC 12 (US)
3000,30000001,3000-SALES,SALES,P300001,Sales CC 1 (IN)
3000,30000002,3000-PRODUCTION,PRODUCTION,P300002,Production CC 2 (IN)
3000,30000003,3000-ADMIN,ADMIN,P300003,Admin CC 3 (IN)
3000,30000004,3000-RND,RND,P300004,Rnd CC 4 (IN)
3000,30000005,3000-SALES,SALES,P300001,Sales CC 5 (IN)
3000,30000006,3000-PRODUCTION,PRODUCTION,P300002,Production CC 6 (IN)
3000,30000007,3000-ADMIN,ADMIN,P300003,Admin CC 7 (IN)
3000,30000008,3000-RND,RND,P300004,Rnd CC 8 (IN)
3000,30000009,3000-SALES,SALES,P300001,Sales CC 9 (IN)
3000,30000010,3000-PRODUCTION,PRODUCTION,P300002,Production CC 10 (IN)
