BUKRS,GJAHR,MONAT,VERSION,VERSION_TXT,KOSTL,PRCTR,HKONT,CATEGORY,WAERS,DMBTR
1000,2022,1,1,Budget,10000001,P100001,400000,REVENUE,EUR,18679536.08
1000,2022,1,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,18679536.08
1000,2022,2,1,Budget,10000001,P100001,400000,REVENUE,EUR,18834440.53
1000,2022,2,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,18834440.53
1000,2022,3,1,Budget,10000001,P100001,400000,REVENUE,EUR,23621343.18
1000,2022,3,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23621343.18
1000,2022,4,1,Budget,10000001,P100001,400000,REVENUE,EUR,16601978.78
1000,2022,4,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,18421914.63
1000,2022,5,1,Budget,10000001,P100001,400000,REVENUE,EUR,23936466.63
1000,2022,5,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,22068255.97
1000,2022,6,1,Budget,10000001,P100001,400000,REVENUE,EUR,24687406.6
1000,2022,6,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23789466.23
1000,2022,7,1,Budget,10000001,P100001,400000,REVENUE,EUR,23961492.72
1000,2022,7,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21753319.63
1000,2022,8,1,Budget,10000001,P100001,400000,REVENUE,EUR,16839922.19
1000,2022,8,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,17939132.46
1000,2022,9,1,Budget,10000001,P100001,400000,REVENUE,EUR,22642302.56
1000,2022,9,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23353813.64
1000,2022,10,1,Budget,10000001,P100001,400000,REVENUE,EUR,21617291.46
1000,2022,10,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21740143.7
1000,2022,11,1,Budget,10000001,P100001,400000,REVENUE,EUR,26310616.64
1000,2022,11,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,24452758.16
1000,2022,12,1,Budget,10000001,P100001,400000,REVENUE,EUR,28870773.63
1000,2022,12,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,28728043.07
1000,2023,1,1,Budget,10000001,P100001,400000,REVENUE,EUR,21336493.6
1000,2023,1,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21336493.6
1000,2023,2,1,Budget,10000001,P100001,400000,REVENUE,EUR,23272668.32
1000,2023,2,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23272668.32
1000,2023,3,1,Budget,10000001,P100001,400000,REVENUE,EUR,27611101.01
1000,2023,3,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,27611101.01
1000,2023,4,1,Budget,10000001,P100001,400000,REVENUE,EUR,24291919.84
1000,2023,4,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,24629142.76
1000,2023,5,1,Budget,10000001,P100001,400000,REVENUE,EUR,21106316.22
1000,2023,5,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23628182.57
1000,2023,6,1,Budget,10000001,P100001,400000,REVENUE,EUR,25803982.81
1000,2023,6,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,27472378.29
1000,2023,7,1,Budget,10000001,P100001,400000,REVENUE,EUR,21856862.98
1000,2023,7,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21234678.15
1000,2023,8,1,Budget,10000001,P100001,400000,REVENUE,EUR,19184228.12
1000,2023,8,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,19398709.69
1000,2023,9,1,Budget,10000001,P100001,400000,REVENUE,EUR,25288360.5
1000,2023,9,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,25058669.99
1000,2023,10,1,Budget,10000001,P100001,400000,REVENUE,EUR,22994968.3
1000,2023,10,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21944092.0
1000,2023,11,1,Budget,10000001,P100001,400000,REVENUE,EUR,25108587.54
1000,2023,11,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,23475038.48
1000,2023,12,1,Budget,10000001,P100001,400000,REVENUE,EUR,32424393.1
1000,2023,12,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,29782203.61
1000,2024,1,1,Budget,10000001,P100001,400000,REVENUE,EUR,21056846.92
1000,2024,1,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21056846.92
1000,2024,2,1,Budget,10000001,P100001,400000,REVENUE,EUR,18935978.11
1000,2024,2,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,18935978.11
1000,2024,3,1,Budget,10000001,P100001,400000,REVENUE,EUR,21396306.04
1000,2024,3,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21396306.04
1000,2024,4,1,Budget,10000001,P100001,400000,REVENUE,EUR,20673783.77
1000,2024,4,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,18924560.31
1000,2024,5,1,Budget,10000001,P100001,400000,REVENUE,EUR,20527751.99
1000,2024,5,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,19162678.36
1000,2024,6,1,Budget,10000001,P100001,400000,REVENUE,EUR,21607384.39
1000,2024,6,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,20863842.32
1000,2024,7,1,Budget,10000001,P100001,400000,REVENUE,EUR,26987585.08
1000,2024,7,2,Rolling Forecast,10000001,P100001,400000,REVENUE,EUR,21484203.3
1000,2024,8,1,Budget,10000001,P100001,400000,REVENUE,EUR,22472037.88
